edge probability,stability,morality,cycle length,generation count,seed
0.004,1.0,0.955,1,13,19561831
0.004,1.0,0.957,1,12,19561832
0.004,1.0,0.99,1,8,19561833
0.004,1.0,0.967,1,8,19561834
0.004,1.0,0.984,1,9,19561835
0.004,1.0,0.979,1,11,19561836
0.004,1.0,0.961,1,11,19561837
0.004,1.0,0.992,1,10,19561838
0.004,1.0,0.965,1,10,19561839
0.004,1.0,0.97,1,8,19561840
0.004,1.0,0.977,1,8,19561841
0.004,1.0,0.994,1,8,19561842
0.004,1.0,0.98,1,10,19561843
0.004,1.0,1.0,1,7,19561844
0.004,1.0,0.981,1,17,19561845
0.004,1.0,0.997,1,8,19561846
0.004,1.0,0.989,1,16,19561847
0.004,1.0,0.992,1,8,19561848
0.004,1.0,0.961,1,9,19561849
0.004,1.0,0.966,1,17,19561850
0.004,1.0,0.989,1,9,19561851
0.004,1.0,0.986,1,9,19561852
0.004,1.0,0.971,1,13,19561853
0.004,1.0,0.985,1,9,19561854
0.004,1.0,0.968,1,11,19561855
0.004,1.0,0.975,1,9,19561856
0.004,1.0,0.988,1,10,19561857
0.004,1.0,0.971,1,7,19561858
0.004,1.0,0.975,1,11,19561859
0.004,1.0,0.989,1,10,19561860
0.004,1.0,0.994,1,9,19561861
0.004,1.0,0.974,1,12,19561862
0.004,1.0,0.992,1,11,19561863
0.004,1.0,0.963,1,11,19561864
0.004,1.0,0.946,1,10,19561865
0.004,1.0,0.998,1,8,19561866
0.004,1.0,0.995,1,21,19561867
0.004,1.0,0.987,1,8,19561868
0.004,1.0,0.982,1,18,19561869
0.004,1.0,0.985,1,11,19561870
0.004,1.0,0.958,1,13,19561871
0.004,1.0,0.992,1,15,19561872
0.004,1.0,0.992,1,9,19561873
0.004,1.0,0.986,1,10,19561874
0.004,1.0,0.94,1,15,19561875
0.004,1.0,0.946,1,10,19561876
0.004,1.0,0.987,1,10,19561877
0.004,1.0,0.987,1,10,19561878
0.004,1.0,0.992,1,9,19561879
0.004,1.0,0.991,1,11,19561880
0.004,1.0,0.964,1,10,19561881
0.004,1.0,0.96,1,10,19561882
0.004,1.0,0.965,1,9,19561883
0.004,1.0,0.959,1,9,19561884
0.004,1.0,0.988,1,11,19561885
0.004,1.0,0.973,1,11,19561886
0.004,1.0,0.99,1,15,19561887
0.004,1.0,0.991,1,9,19561888
0.004,1.0,0.962,1,13,19561889
0.004,1.0,0.96,1,9,19561890
0.004,1.0,0.996,1,9,19561891
0.004,1.0,0.953,1,13,19561892
0.004,1.0,0.999,1,7,19561893
0.004,1.0,0.988,1,11,19561894
0.004,1.0,0.97,1,9,19561895
0.004,1.0,0.981,1,10,19561896
0.004,1.0,0.966,1,10,19561897
0.004,1.0,0.958,1,10,19561898
0.004,1.0,0.96,1,24,19561899
0.004,1.0,0.97,1,12,19561900
0.004,1.0,0.99,1,9,19561901
0.004,1.0,0.992,1,7,19561902
0.004,1.0,0.977,1,15,19561903
0.004,1.0,0.969,1,14,19561904
0.004,1.0,0.978,1,12,19561905
0.004,1.0,0.982,1,8,19561906
0.004,1.0,0.994,1,9,19561907
0.004,1.0,0.984,1,10,19561908
0.004,1.0,0.957,1,11,19561909
0.004,1.0,0.981,1,16,19561910
0.004,1.0,0.966,1,9,19561911
0.004,1.0,0.99,1,7,19561912
0.004,1.0,0.963,1,9,19561913
0.004,1.0,0.957,1,12,19561914
0.004,1.0,0.967,1,12,19561915
0.004,1.0,0.978,1,8,19561916
0.004,1.0,0.977,1,9,19561917
0.004,1.0,0.969,1,9,19561918
0.004,1.0,0.991,1,10,19561919
0.004,1.0,0.986,1,7,19561920
0.004,1.0,0.972,1,9,19561921
0.004,1.0,0.991,1,8,19561922
0.004,1.0,0.945,1,13,19561923
0.004,1.0,0.994,1,12,19561924
0.004,1.0,0.944,1,10,19561925
0.004,1.0,0.983,1,9,19561926
0.004,1.0,0.968,1,12,19561927
0.004,1.0,0.981,1,14,19561928
0.004,1.0,0.994,1,12,19561929
0.004,1.0,0.97,1,10,19561930
0.008,1.0,1.0,1,6,19561831
0.008,1.0,1.0,1,6,19561832
0.008,1.0,1.0,1,5,19561833
0.008,1.0,1.0,1,6,19561834
0.008,1.0,1.0,1,6,19561835
0.008,1.0,1.0,1,6,19561836
0.008,1.0,0.991,1,6,19561837
0.008,1.0,1.0,1,4,19561838
0.008,1.0,1.0,1,5,19561839
0.008,1.0,1.0,1,6,19561840
0.008,1.0,1.0,1,8,19561841
0.008,1.0,1.0,1,6,19561842
0.008,1.0,1.0,1,7,19561843
0.008,1.0,1.0,1,7,19561844
0.008,1.0,1.0,1,5,19561845
0.008,1.0,1.0,1,6,19561846
0.008,1.0,1.0,1,5,19561847
0.008,1.0,1.0,1,7,19561848
0.008,1.0,1.0,1,6,19561849
0.008,1.0,1.0,1,7,19561850
0.008,1.0,1.0,1,5,19561851
0.008,1.0,1.0,1,5,19561852
0.008,1.0,0.994,1,5,19561853
0.008,1.0,1.0,1,7,19561854
0.008,1.0,1.0,1,5,19561855
0.008,1.0,1.0,1,4,19561856
0.008,1.0,1.0,1,7,19561857
0.008,1.0,1.0,1,9,19561858
0.008,1.0,1.0,1,7,19561859
0.008,1.0,1.0,1,6,19561860
0.008,1.0,1.0,1,8,19561861
0.008,1.0,1.0,1,8,19561862
0.008,1.0,1.0,1,5,19561863
0.008,1.0,1.0,1,7,19561864
0.008,1.0,1.0,1,6,19561865
0.008,1.0,1.0,1,8,19561866
0.008,1.0,1.0,1,6,19561867
0.008,1.0,1.0,1,6,19561868
0.008,1.0,1.0,1,6,19561869
0.008,1.0,1.0,1,5,19561870
0.008,1.0,1.0,1,4,19561871
0.008,1.0,1.0,1,5,19561872
0.008,1.0,1.0,1,4,19561873
0.008,1.0,0.998,1,7,19561874
0.008,1.0,1.0,1,6,19561875
0.008,1.0,1.0,1,14,19561876
0.008,1.0,1.0,1,10,19561877
0.008,1.0,1.0,1,5,19561878
0.008,1.0,1.0,1,8,19561879
0.008,1.0,1.0,1,8,19561880
0.008,1.0,1.0,1,4,19561881
0.008,1.0,1.0,1,7,19561882
0.008,1.0,1.0,1,5,19561883
0.008,1.0,1.0,1,6,19561884
0.008,1.0,0.996,1,7,19561885
0.008,1.0,1.0,1,5,19561886
0.008,1.0,0.998,1,5,19561887
0.008,1.0,1.0,1,6,19561888
0.008,1.0,1.0,1,6,19561889
0.008,1.0,1.0,1,6,19561890
0.008,1.0,1.0,1,5,19561891
0.008,1.0,1.0,1,6,19561892
0.008,1.0,1.0,1,4,19561893
0.008,1.0,1.0,1,7,19561894
0.008,1.0,1.0,1,8,19561895
0.008,1.0,1.0,1,5,19561896
0.008,1.0,1.0,1,6,19561897
0.008,1.0,1.0,1,6,19561898
0.008,1.0,1.0,1,6,19561899
0.008,1.0,1.0,1,9,19561900
0.008,1.0,1.0,1,5,19561901
0.008,1.0,1.0,1,5,19561902
0.008,1.0,1.0,1,13,19561903
0.008,1.0,1.0,1,5,19561904
0.008,1.0,1.0,1,8,19561905
0.008,1.0,1.0,1,6,19561906
0.008,1.0,1.0,1,6,19561907
0.008,1.0,1.0,1,5,19561908
0.008,1.0,1.0,1,7,19561909
0.008,1.0,1.0,1,6,19561910
0.008,1.0,1.0,1,6,19561911
0.008,1.0,1.0,1,9,19561912
0.008,1.0,1.0,1,5,19561913
0.008,1.0,1.0,1,6,19561914
0.008,1.0,1.0,1,15,19561915
0.008,1.0,1.0,1,5,19561916
0.008,1.0,1.0,1,5,19561917
0.008,1.0,1.0,1,6,19561918
0.008,1.0,1.0,1,8,19561919
0.008,1.0,0.998,1,19,19561920
0.008,1.0,1.0,1,5,19561921
0.008,1.0,1.0,1,6,19561922
0.008,1.0,0.999,1,8,19561923
0.008,1.0,0.994,1,7,19561924
0.008,1.0,1.0,1,5,19561925
0.008,1.0,1.0,1,6,19561926
0.008,1.0,1.0,1,6,19561927
0.008,1.0,1.0,1,7,19561928
0.008,1.0,1.0,1,6,19561929
0.008,1.0,1.0,1,7,19561930
0.012,1.0,1.0,1,5,19561831
0.012,1.0,1.0,1,5,19561832
0.012,1.0,1.0,1,7,19561833
0.012,1.0,1.0,1,6,19561834
0.012,1.0,1.0,1,5,19561835
0.012,1.0,1.0,1,6,19561836
0.012,1.0,1.0,1,5,19561837
0.012,1.0,1.0,1,5,19561838
0.012,1.0,1.0,1,3,19561839
0.012,1.0,1.0,1,4,19561840
0.012,1.0,1.0,1,6,19561841
0.012,1.0,1.0,1,8,19561842
0.012,1.0,1.0,1,5,19561843
0.012,1.0,1.0,1,4,19561844
0.012,1.0,1.0,1,6,19561845
0.012,1.0,1.0,1,6,19561846
0.012,1.0,1.0,1,6,19561847
0.012,1.0,1.0,1,5,19561848
0.012,1.0,1.0,1,6,19561849
0.012,1.0,1.0,1,4,19561850
0.012,1.0,1.0,1,4,19561851
0.012,1.0,1.0,1,3,19561852
0.012,1.0,1.0,1,4,19561853
0.012,1.0,1.0,1,5,19561854
0.012,1.0,1.0,1,6,19561855
0.012,1.0,1.0,1,17,19561856
0.012,1.0,1.0,1,4,19561857
0.012,1.0,1.0,1,6,19561858
0.012,1.0,1.0,1,4,19561859
0.012,1.0,1.0,1,6,19561860
0.012,1.0,1.0,1,4,19561861
0.012,1.0,1.0,1,4,19561862
0.012,1.0,0.017,1,4,19561863
0.012,1.0,1.0,1,4,19561864
0.012,1.0,1.0,1,5,19561865
0.012,1.0,1.0,1,4,19561866
0.012,1.0,1.0,1,5,19561867
0.012,1.0,1.0,1,5,19561868
0.012,1.0,1.0,1,5,19561869
0.012,1.0,1.0,1,5,19561870
0.012,1.0,1.0,1,4,19561871
0.012,1.0,1.0,1,4,19561872
0.012,1.0,1.0,1,4,19561873
0.012,1.0,1.0,1,4,19561874
0.012,1.0,1.0,1,10,19561875
0.012,1.0,1.0,1,4,19561876
0.012,1.0,1.0,1,4,19561877
0.012,1.0,1.0,1,6,19561878
0.012,1.0,1.0,1,6,19561879
0.012,1.0,1.0,1,5,19561880
0.012,1.0,1.0,1,4,19561881
0.012,1.0,1.0,1,5,19561882
0.012,1.0,1.0,1,6,19561883
0.012,1.0,1.0,1,4,19561884
0.012,1.0,1.0,1,6,19561885
0.012,1.0,1.0,1,6,19561886
0.012,1.0,1.0,1,5,19561887
0.012,1.0,1.0,1,4,19561888
0.012,1.0,1.0,1,8,19561889
0.012,1.0,1.0,1,5,19561890
0.012,1.0,1.0,1,5,19561891
0.012,1.0,1.0,1,5,19561892
0.012,1.0,1.0,1,4,19561893
0.012,1.0,1.0,1,21,19561894
0.012,1.0,1.0,1,5,19561895
0.012,1.0,1.0,1,7,19561896
0.012,1.0,1.0,1,4,19561897
0.012,1.0,1.0,1,6,19561898
0.012,1.0,1.0,1,5,19561899
0.012,1.0,1.0,1,4,19561900
0.012,1.0,1.0,1,6,19561901
0.012,1.0,1.0,1,7,19561902
0.012,1.0,1.0,1,5,19561903
0.012,1.0,1.0,1,5,19561904
0.012,1.0,1.0,1,5,19561905
0.012,1.0,1.0,1,6,19561906
0.012,1.0,1.0,1,6,19561907
0.012,1.0,1.0,1,4,19561908
0.012,1.0,1.0,1,5,19561909
0.012,1.0,1.0,1,6,19561910
0.012,1.0,1.0,1,5,19561911
0.012,1.0,1.0,1,5,19561912
0.012,1.0,1.0,1,4,19561913
0.012,1.0,1.0,1,6,19561914
0.012,1.0,1.0,1,5,19561915
0.012,1.0,1.0,1,5,19561916
0.012,1.0,1.0,1,6,19561917
0.012,1.0,1.0,1,4,19561918
0.012,1.0,1.0,1,5,19561919
0.012,1.0,1.0,1,5,19561920
0.012,1.0,1.0,1,4,19561921
0.012,1.0,1.0,1,5,19561922
0.012,1.0,1.0,1,5,19561923
0.012,1.0,1.0,1,3,19561924
0.012,1.0,1.0,1,5,19561925
0.012,1.0,1.0,1,5,19561926
0.012,1.0,1.0,1,4,19561927
0.012,1.0,1.0,1,6,19561928
0.012,1.0,1.0,1,4,19561929
0.012,1.0,1.0,1,4,19561930
